,,,,Crime,,,,,Weather,,,,,Healthcare,,,,,,,,,Property,,,,,,,,,,,,
,City,Population,Survey Rating,Total Crime,Crime Score,Burglary,Robbery,Violence and Sexual Offences,Flooding,,Average Annual Days of Thunder , ,Weather Score,% of A&E Attendances With a Wait Less than 4 Hours, ,Doctors Per Person,,Median Ambulance Response Time (Minutes), ,% of Life-Threatening Ambulance Response Times under 8 Minutes, ,Healthcare Score,Average House Price,Property Age,Average Property Age (Years), ,Ground Movement,,Property Score,Safety Score,,,,,
WC1A,London,"8,787,892",6.56,1796,5.68,178,71,243,0%,10.00,15,1.00,5.50,87.1%,7.08,0.75,4.71,4.88,4.41,85%,7.57,5.94," £	5,431,250.00 ",1962,56,7.46,0%,10.00,9.15,6.57,,,,,
B1,Birmingham,"1,124,569",6.67,982,7.73,23,41,197,1%,9.08,9,5.15,7.12,86.1%,6.64,0.75,4.71,1.43,10.00,93%,9.51,7.71," £	182,780.00 ",1990,28,9.61,0%,9.52,9.55,8.03,,,,,
LS1,Leeds,"781,743",7.18,175,9.76,29,5,288,2%,7.11,9,5.15,6.13,84.5%,5.90,0.75,4.71,3.57,6.53,92%,9.27,6.60," £	200,600.00 ",1953,65,6.70,4%,5.94,6.19,7.17,,,,,
G1,Glasgow,"599,650",7.49,3659,1.00,,,,0%,10.00,2,10.00,10.00,88.3%,7.62,0.95,10.00,5.47,3.45,87%,8.05,7.28," £	204,963.00 ",1956,62,6.98,2%,8.27,7.84,6.53,,,,,
S1,Sheffield,"575,424",7.35,1140,7.33,70,29,180,0%,9.57,11,3.77,6.67,84.0%,5.65,0.75,4.71,4.77,4.58,84%,7.32,5.57," £	98,158.00 ",1972,46,8.23,0%,10.00,9.41,7.25,,,,,
M1,Manchester,"541,263",7.17,764,8.28,22,26,213,0%,9.77,11,3.77,6.77,82.3%,4.87,0.75,4.71,4.30,5.35,86%,7.81,5.68," £	229,743.00 ",1954,64,6.81,0%,9.68,8.72,7.36,,,,,
BD1,Bradford,"534,279",,564,8.78,21,21,120,0%,10.00,9,5.15,7.58,84.5%,5.90,0.75,4.71,5.87,2.80,82%,6.84,5.06," £	69,995.00 ",1946,72,6.16,0%,10.00,8.72,7.54,,,,,
L1,Liverpool,"484,578",7.18,1660,6.03,136,15,408,0%,10.00,7,6.54,8.27,82.5%,4.96,0.75,4.71,4.25,5.43,91%,9.03,6.03," £	123,199.00 ",1978,40,8.70,0%,10.00,9.57,7.47,,,,,
EH1,Edinburgh,"464,990",7.45,2463,4.01,,,,1%,8.62,5,7.92,8.27,82.3%,4.88,0.95,10.00,4.00,5.83,90%,8.78,7.37," £	427,581.00 ",1880,138,1.00,2%,7.42,5.28,6.23,,,,,
